issue_url,format,repo,created_at,title,llm_category
https://api.github.com/repos/Andrii-Grytsenko-OWASP/SnykVulnCheck/issues/3,cdx,Andrii-Grytsenko-OWASP/SnykVulnCheck,2022-10-11 12:47:18+00:00,Out of date: API no longer exists,Bug Fixes and Defects
https://api.github.com/repos/CERTCC/SBOM/issues/12,spdx,CERTCC/SBOM,2021-10-21 07:37:47+00:00,NPM packages failed to Import,Bug Fixes and Defects
https://api.github.com/repos/CERTCC/SBOM/issues/14,spdx,CERTCC/SBOM,2021-11-09 12:17:33+00:00,SwiftBom tool,Bug Fixes and Defects
https://api.github.com/repos/CERTCC/SBOM/issues/8,spdx,CERTCC/SBOM,2021-05-17 21:15:54+00:00,Import Excel Template Not Working,Bug Fixes and Defects
https://api.github.com/repos/CycloneDX/cdxgen-action/issues/3,cdx,CycloneDX/cdxgen-action,2021-11-18 07:49:45+00:00,Error while running the action ,Bug Fixes and Defects
https://api.github.com/repos/CycloneDX/cdxgen/issues/1,cdx,CycloneDX/cdxgen,2020-01-15 13:46:00+00:00,Scalability issue with sync-request,Bug Fixes and Defects
https://api.github.com/repos/CycloneDX/cdxgen/issues/102,cdx,CycloneDX/cdxgen,2022-01-19 10:38:41+00:00,NPM: dev dependencies without scope,Bug Fixes and Defects
https://api.github.com/repos/CycloneDX/cdxgen/issues/110,cdx,CycloneDX/cdxgen,2022-01-31 17:40:15+00:00,Number of dependencies differ significantly when using `cdxgen --type npm` and official cyclonedx-node-module,Bug Fixes and Defects
https://api.github.com/repos/CycloneDX/cdxgen/issues/111,cdx,CycloneDX/cdxgen,2022-02-03 11:20:51+00:00,Unable to recursively parse multiple poetry.lock files,Bug Fixes and Defects
https://api.github.com/repos/CycloneDX/cdxgen/issues/120,cdx,CycloneDX/cdxgen,2022-03-24 08:02:44+00:00,Yarn parser collects BOM with wrong versions,Bug Fixes and Defects
https://api.github.com/repos/CycloneDX/cdxgen/issues/123,cdx,CycloneDX/cdxgen,2022-03-29 13:44:32+00:00,No error returned when the gradle build failed,Bug Fixes and Defects
https://api.github.com/repos/CycloneDX/cdxgen/issues/126,cdx,CycloneDX/cdxgen,2022-04-11 12:20:53+00:00,cdxgen crashes when collecting rust SBOMs,Bug Fixes and Defects
https://api.github.com/repos/CycloneDX/cdxgen/issues/127,cdx,CycloneDX/cdxgen,2022-04-12 10:11:42+00:00,Possibly incorrect purl for ruby SBOM components,Bug Fixes and Defects
https://api.github.com/repos/CycloneDX/cdxgen/issues/128,cdx,CycloneDX/cdxgen,2022-04-19 08:33:11+00:00,Manual pom.xml parsing crashes cdxgen,Bug Fixes and Defects
https://api.github.com/repos/CycloneDX/cdxgen/issues/129,cdx,CycloneDX/cdxgen,2022-05-04 13:45:37+00:00,BOMs from Docker image missing packages,Bug Fixes and Defects
https://api.github.com/repos/CycloneDX/cdxgen/issues/136,cdx,CycloneDX/cdxgen,2022-06-17 14:12:55+00:00,Could not determine java version from '11.0.15',Bug Fixes and Defects
https://api.github.com/repos/CycloneDX/cdxgen/issues/138,cdx,CycloneDX/cdxgen,2022-06-21 07:32:18+00:00,Purl for RUST dependencies,Bug Fixes and Defects
https://api.github.com/repos/CycloneDX/cdxgen/issues/139,cdx,CycloneDX/cdxgen,2022-06-22 07:47:08+00:00,Rust collector can't produce SBOMs,Bug Fixes and Defects
https://api.github.com/repos/CycloneDX/cdxgen/issues/140,cdx,CycloneDX/cdxgen,2022-06-23 15:40:51+00:00,License and vulnerability analysis not done Dependency Track ,Bug Fixes and Defects
https://api.github.com/repos/CycloneDX/cdxgen/issues/143,cdx,CycloneDX/cdxgen,2022-06-23 21:10:10+00:00,Duplicate bom components in recurse mode without specifying type,Bug Fixes and Defects
https://api.github.com/repos/CycloneDX/cdxgen/issues/147,cdx,CycloneDX/cdxgen,2022-07-26 11:10:38+00:00,--required-only does not work in maven projects,Bug Fixes and Defects
https://api.github.com/repos/CycloneDX/cdxgen/issues/148,cdx,CycloneDX/cdxgen,2022-08-01 11:37:22+00:00,ERR_OUT_OF_RANGE setting environment variable CDXGEN_TIMEOUT_MS,Bug Fixes and Defects
https://api.github.com/repos/CycloneDX/cdxgen/issues/150,cdx,CycloneDX/cdxgen,2022-08-03 17:55:46+00:00,Scala sbt 1.6.2 + dependency tree plugin error: Expected '--force'; dependencyList::toFile ... --append,Bug Fixes and Defects
https://api.github.com/repos/CycloneDX/cdxgen/issues/153,cdx,CycloneDX/cdxgen,2022-09-09 11:48:38+00:00,utils.parseYamlData does not exist,Bug Fixes and Defects
https://api.github.com/repos/CycloneDX/cdxgen/issues/156,cdx,CycloneDX/cdxgen,2022-09-19 15:49:33+00:00,cdxgen does not fail on error,Bug Fixes and Defects
https://api.github.com/repos/CycloneDX/cdxgen/issues/157,cdx,CycloneDX/cdxgen,2022-09-19 15:57:12+00:00,cdxgen doesn't look for gradlew in the same subdirectory as build.gradle,Bug Fixes and Defects
https://api.github.com/repos/CycloneDX/cdxgen/issues/160,cdx,CycloneDX/cdxgen,2022-09-21 01:03:30+00:00,Do not use jcenter,Bug Fixes and Defects
https://api.github.com/repos/CycloneDX/cdxgen/issues/164,cdx,CycloneDX/cdxgen,2022-09-22 19:34:18+00:00,Javascript --required-only doesn't include transitive dependencies,Bug Fixes and Defects
https://api.github.com/repos/CycloneDX/cdxgen/issues/169,cdx,CycloneDX/cdxgen,2022-10-20 09:27:51+00:00,BOM file shows groupId with maven2 as a prefix,Bug Fixes and Defects
https://api.github.com/repos/CycloneDX/cdxgen/issues/170,cdx,CycloneDX/cdxgen,2022-10-25 08:41:13+00:00,javascript: required-only not working,Bug Fixes and Defects
https://api.github.com/repos/CycloneDX/cdxgen/issues/172,cdx,CycloneDX/cdxgen,2022-11-01 15:35:25+00:00,Dependencies Array is not available in the generated BOM output for maven project.,Bug Fixes and Defects
https://api.github.com/repos/CycloneDX/cdxgen/issues/175,cdx,CycloneDX/cdxgen,2022-11-02 21:14:07+00:00,No hashes in boms,Bug Fixes and Defects
https://api.github.com/repos/CycloneDX/cdxgen/issues/176,cdx,CycloneDX/cdxgen,2022-11-09 08:24:03+00:00,HTTPError: Response code 500 when generate and upload BOM to dependency track 4.6.0,Bug Fixes and Defects
https://api.github.com/repos/CycloneDX/cdxgen/issues/186,cdx,CycloneDX/cdxgen,2022-11-18 16:56:37+00:00,Parsing license strings in python bdist files is causing validation failures,Bug Fixes and Defects
https://api.github.com/repos/CycloneDX/cdxgen/issues/20,cdx,CycloneDX/cdxgen,2020-12-04 21:36:57+00:00,cannot parse csproj files with only one ItemGroup,Bug Fixes and Defects
https://api.github.com/repos/CycloneDX/cdxgen/issues/205,cdx,CycloneDX/cdxgen,2022-12-16 14:27:11+00:00,Getting empty Dependencies array in bom file for Python and node projects.,Bug Fixes and Defects
https://api.github.com/repos/CycloneDX/cdxgen/issues/206,cdx,CycloneDX/cdxgen,2022-12-16 14:38:05+00:00,Node Project - Components are missing in the BOM file,Bug Fixes and Defects
https://api.github.com/repos/CycloneDX/cdxgen/issues/212,cdx,CycloneDX/cdxgen,2023-01-11 19:53:30+00:00,Error for yarn.lock with cdxgen 6.0.0,Bug Fixes and Defects
https://api.github.com/repos/CycloneDX/cdxgen/issues/213,cdx,CycloneDX/cdxgen,2023-01-12 08:03:38+00:00,Metadata/Component not generated for maven fallback mode,Bug Fixes and Defects
https://api.github.com/repos/CycloneDX/cdxgen/issues/214,cdx,CycloneDX/cdxgen,2023-01-12 11:33:08+00:00,BoM only includes Java components from first subdirectory in case of recursive scan,Bug Fixes and Defects
https://api.github.com/repos/CycloneDX/cdxgen/issues/215,cdx,CycloneDX/cdxgen,2023-01-13 11:07:57+00:00,TypeError: Cannot convert undefined or null to object,Bug Fixes and Defects
https://api.github.com/repos/CycloneDX/cdxgen/issues/216,cdx,CycloneDX/cdxgen,2023-01-13 11:33:31+00:00,Dependency Graph,Bug Fixes and Defects
https://api.github.com/repos/CycloneDX/cdxgen/issues/217,cdx,CycloneDX/cdxgen,2023-01-13 12:29:31+00:00,"Version 6.0.3 on pnpm-lock.yaml causing 'Error: Invalid purl: ""name"" is a required field.'",Bug Fixes and Defects
https://api.github.com/repos/CycloneDX/cdxgen/issues/218,cdx,CycloneDX/cdxgen,2023-01-13 16:23:18+00:00,6.0.5: Internal Error with FETCH_LICENSE and pnpm-lock.yaml,Bug Fixes and Defects
https://api.github.com/repos/CycloneDX/cdxgen/issues/222,cdx,CycloneDX/cdxgen,2023-01-18 19:05:28+00:00,Project type detection not working for yarn.lock,Bug Fixes and Defects
https://api.github.com/repos/CycloneDX/cdxgen/issues/225,cdx,CycloneDX/cdxgen,2023-01-24 08:29:53+00:00,License Resolve issue for nuget,Bug Fixes and Defects
https://api.github.com/repos/CycloneDX/cdxgen/issues/230,cdx,CycloneDX/cdxgen,2023-02-05 22:55:39+00:00,BOM creation for php/composer is broken,Bug Fixes and Defects
https://api.github.com/repos/CycloneDX/cdxgen/issues/233,cdx,CycloneDX/cdxgen,2023-02-08 13:09:12+00:00,BOM doesn't conain ANY license information for Android-Gradle build,Bug Fixes and Defects
https://api.github.com/repos/CycloneDX/cdxgen/issues/236,cdx,CycloneDX/cdxgen,2023-02-10 13:51:25+00:00,Try to run with PHP project,Bug Fixes and Defects
https://api.github.com/repos/CycloneDX/cdxgen/issues/24,cdx,CycloneDX/cdxgen,2021-01-09 06:30:17+00:00,"The --recurse option is not supported for maven, ruby, php, rust, or golang",Bug Fixes and Defects
https://api.github.com/repos/CycloneDX/cdxgen/issues/240,cdx,CycloneDX/cdxgen,2023-02-16 06:29:57+00:00,[8.0.x -- Docker version] Output option does not works,Bug Fixes and Defects
