tool_used,link,link,creation_date,Stars,Watchers,Forks,Releases,packages,Contributors,openIssues,closedIssues,OpenPullRequests,ClosedPullRequests,Commits,type
spdx-maven-plugin,https://github.com/zvr/hub-spdx,https://github.com/zvr/hub-spdx,2018-04-24T17:17:46Z,81,14,79,32,,15,194,407,7,321,766,SPDX
bom,https://github.com/Zolko-123/FreeCAD_Assembly4,https://github.com/Zolko-123/FreeCAD_Assembly4,2019-03-10T11:58:17Z,7,10,3,,0,2,0,3,0,2,122,SPDX
ko-build/ko,https://github.com/zdharma-continuum/zinit,https://github.com/zdharma-continuum/zinit,2021-10-30T01:07:44Z,2,3,2,16,0,2,2,12,1,36,148,SPDX
cyclonedx-python,https://github.com/zama-ai/concrete-numpy,https://github.com/zama-ai/concrete-numpy,2021-09-06T07:59:31Z,474,14,53,29,0,28,92,301,5,680,588,SPDX
cyclonedx-gomod,https://github.com/zabbix/zabbix,https://github.com/zabbix/zabbix,2014-02-27T15:36:03Z,6000,128,748,68,8,178,338,1169,16,2485,"1,739",SPDX
sbom-tool,https://github.com/yuuki1967/https-gintro-to-dotnet-web-dev,https://github.com/yuuki1967/https-gintro-to-dotnet-web-dev,2023-07-04T13:35:53Z,0,0,0,,0,2,0,2,0,39,68,SPDX
cyclonedx-maven-plugin,https://github.com/Yong-An-Dang/nuclei-plus,https://github.com/Yong-An-Dang/nuclei-plus,2022-09-28T01:59:16Z,11,2,6,18,0,5,8,10,7,235,609,SPDX
bom,https://github.com/yirutang/insert-id,https://github.com/yirutang/insert-id,2019-12-12T01:08:50Z,135000,202,29000,267,1,770,851,4504,46,5488,"4,724",SPDX
spdx-maven-plugin,https://github.com/yevster/spdx-edit,https://github.com/yevster/spdx-edit,2015-07-01T07:04:46Z,24,11,14,34,,16,28,181,3,317,664,SPDX
cyclonedx-go,https://github.com/yaklang/yaklang,https://github.com/yaklang/yaklang,2023-04-29T05:21:07Z,7,3,1,,,,0,0,0,0,148,SPDX
bom,https://github.com/xsm110/Beam15.0,https://github.com/xsm110/Beam15.0,2019-08-26T09:56:51Z,26,3,12,,0,52,15,16,0,11,"6,617",SPDX
cyclonedx-go,https://github.com/XmirrorSecurity/OpenSCA-cli,https://github.com/XmirrorSecurity/OpenSCA-cli,2021-12-30T04:44:37Z,81,4,41,,0,29,12,12,11,294,257,SPDX
build-info-go,https://github.com/xhcoding/.emacs.d,https://github.com/xhcoding/.emacs.d,2023-01-20T15:53:05Z,0,2,7,,0,6,14,24,1,54,130,SPDX
cyclonedx-go,https://github.com/xeol-io/xeol,https://github.com/xeol-io/xeol,2022-12-23T17:52:15Z,47,5,9,5,0,3,3,9,0,17,57,SPDX
ko-build/ko,https://github.com/X-lab2017/open-digger,https://github.com/X-lab2017/open-digger,2020-08-18T11:03:58Z,14,2,3,11,4,4,25,45,9,344,553,SPDX
gh-dotnet-generate-sbom,https://github.com/wulfland/AccelerateDevOps,https://github.com/wulfland/AccelerateDevOps,2021-07-07T08:01:50Z,4,3,0,2,,2,0,0,0,5,9,SPDX
cyclonedx-maven-plugin,https://github.com/wso2/security-tools,https://github.com/wso2/security-tools,2015-11-23T04:43:14Z,677,59,358,41,0,108,356,916,28,1230,"9,499",SPDX
ko-build/ko,https://github.com/wolfi-dev/os,https://github.com/wolfi-dev/os,2022-09-07T19:46:09Z,24000,50,184,,0,39,22,27,50,416,322,SPDX
ort,https://github.com/wings-software/platform-demo2,https://github.com/wings-software/platform-demo2,2021-07-26T22:24:10Z,13,4,10,,0,26,0,3,0,3,"1,462",SPDX
ort,https://github.com/wings-software/payment-service,https://github.com/wings-software/payment-service,2021-08-18T18:55:11Z,141,13,49,,7,36,97,258,2,727,640,SPDX
sbom-tool,https://github.com/wabbit-networks/net-monitor,https://github.com/wabbit-networks/net-monitor,2021-03-02T18:38:13Z,43,6,31,16,0,11,10,50,2,62,215,SPDX
tools-golang,https://github.com/w3c-ccg/traceability-vocab,https://github.com/w3c-ccg/traceability-vocab,2020-10-13T16:30:53Z,140,23,38,19,0,9,6,101,2,45,879,SPDX
tools-python,https://github.com/vu-ls/advise,https://github.com/vu-ls/advise,2023-03-07T15:34:26Z,0,0,0,,0,3,0,0,0,0,57,SPDX
cyclonedx-gomod,https://github.com/volution/z-scratchpad,https://github.com/volution/z-scratchpad,2021-08-05T19:06:27Z,8,5,5,2,1,4,5,2,2,5,29,SPDX
cyclonedx-gomod,https://github.com/volution/z-run,https://github.com/volution/z-run,2019-08-04T15:58:09Z,2,1,0,9,0,3,0,1,0,3,50,SPDX
cyclonedx-gomod,https://github.com/volution/kawipiko,https://github.com/volution/kawipiko,2018-11-09T16:05:54Z,0,22,0,,0,2,0,0,0,4,41,SPDX
tools-golang,https://github.com/vmware-samples/sbom-composer,https://github.com/vmware-samples/sbom-composer,2022-07-20T13:22:52Z,3,2,1,,0,,2,0,0,2,6,SPDX
ort,https://github.com/vinland-technology/compliance-tool-collection,https://github.com/vinland-technology/compliance-tool-collection,2021-05-02T21:59:04Z,393,8,37,,3,20,24,90,26,774,"1,346",SPDX
cyclonedx-maven-plugin,https://github.com/vaadin/platform,https://github.com/vaadin/platform,2017-05-19T16:34:14Z,30,29,32,,0,26,60,236,0,581,"2,813",SPDX
bom,https://github.com/uservers/miniprow,https://github.com/uservers/miniprow,2021-03-31T19:57:40Z,100,10,44,14,,28,24,51,2,193,827,SPDX
cyclonedx-cli,https://github.com/trustification/trustification,https://github.com/trustification/trustification,2023-05-03T16:03:26Z,131,13,65,109,0,51,8,265,5,1805,"3,296",SPDX
sbom-tool,https://github.com/togglz/togglz,https://github.com/togglz/togglz,2011-12-21T16:49:03Z,0,3,0,,0,2,0,0,3,19,200,SPDX
ort,https://github.com/todogroup/ospolandscape,https://github.com/todogroup/ospolandscape,2021-02-17T17:04:51Z,1,3,0,,0,5,4,1,0,1,44,SPDX
ko-build/ko,https://github.com/tilt-dev/ctlptl,https://github.com/tilt-dev/ctlptl,2020-10-16T18:30:00Z,2,0,1,,,3,0,0,0,3,26,SPDX
pip-audit,https://github.com/tern-tools/tern,https://github.com/tern-tools/tern,2017-11-27T23:32:17Z,36,10,10,9,0,11,2,75,0,80,283,SPDX
ko-build/ko,https://github.com/tektoncd/catalog,https://github.com/tektoncd/catalog,2019-04-25T19:54:27Z,435,12,68,74,2,8,36,45,1,46,263,SPDX
cyclonedx-go,https://github.com/tap8stry/orion,https://github.com/tap8stry/orion,2021-11-09T14:14:29Z,230,12,68,10,0,29,6,186,2,257,909,SPDX
bom,https://github.com/syspack/pakages,https://github.com/syspack/pakages,2022-05-13T23:45:30Z,2,3,1,,0,2,0,0,0,0,2,SPDX
bom,https://github.com/syself/cluster-api-provider-hetzner,https://github.com/syself/cluster-api-provider-hetzner,2021-08-25T11:32:07Z,9,3,3,,0,19,0,0,74,53,909,SPDX
syft,https://github.com/synapsecns/sanguine,https://github.com/synapsecns/sanguine,2022-05-24T08:16:06Z,3,3,3,4,0,3,2,6,5,20,111,SPDX
